Vertices;Pre-reqs
GIG;BOG
GRU;BOG, MDE
MVD;BOG
AEP;BOG
EZE;GYE, UIO, BOG, MDE
SCL;CTG, BOG, MDE
ASU;BOG
MAO;BOG
GEO;BOG
LET;BOG
VVI;BOG
LPB;BOG, CUZ
CUZ;BOG, LPB
LIM;BOG, MDE
GPS;UIO, GYE
SCY;GYE
CUE;UIO
GYE;BOG, MDE, GPS, SCY, EZE
MEC;UIO
UIO;BOG, MDE, GPS, MEC, GYE, CUE, EZE
IPI;BOG
PSO;BOG, CLO
PPN;BOG
CLO;BOG, PSO, MDE, CTG, BAQ, SMR
NVA;BOG
VVC;BOG
IBE;BOG
AXM;BOG, MDE
PEI;BOG, CTG, SMR
BOG;GIG, GRU, MVD, AEP, EZE, SCL, ASU, MAO, GEO, LET, VVI, LPB, CUZ, LIM, GYE, UIO, IPI, PSO, PPN, CLO, NVA, VVC, IBE, AXM, PEI, EYP, MDE, EJA, BGA, CUC, CCS, MTR, CTG, BAQ, VUP, SMR, RCH, CUR, AUA
EYP;BOG
MDE;BOG, GRU, EZE, SCL, LIM, GYE, UIO, CLO, PEI, AXM, BGA, CUC, MTR, CTG, BAQ, SMR, RCH, AUA
EJA;BOG
BGA;BOG, MDE, CTG
CUC;BOG, MDE
CCS;BOG
MTR;BOG, MDE
CTG;BOG, MDE, BGA, PEI, CLO, GYE, SCL
BAQ;BOG, MDE, CLO
VUP;BOG
SMR;BOG, CLO, MDE, PEI
RCH;BOG, MDE
CUR;BOG
AUA;BOG, MDE
